Feature,KS Stat,P-value,Drift,Ref Mean,Cur Mean
Load_Bearing_Capacity,0.1037,0.0611,Нет,261.47,284.37
Safety_Risk_Score,0.09,0.1444,Нет,5.37,5.17
Vibration_Level,0.0813,0.2339,Нет,1.05,1.03
Air_Quality_Index,0.08,0.2495,Нет,176.15,169.26
Equipment_Utilization,0.0737,0.3393,Нет,69.57,68.97
Actual_Cost,0.0737,0.3393,Нет,31125300.09,33204195.92
Planned_Cost,0.0712,0.3806,Нет,26110762.12,27632389.66
Planned_Duration,0.0712,0.3806,Нет,535.73,550.17
Completion_Percentage,0.0688,0.425,Нет,55.58,53.56
Start_Year,0.0675,0.4482,Нет,2020.92,2020.86
Humidity,0.0663,0.4721,Нет,55.25,56.42
Actual_Duration,0.065,0.4966,Нет,642.66,657.16
Project_Duration_Days,0.0638,0.5217,Нет,558.72,546.26
Schedule_Deviation,0.0612,0.5733,Нет,106.93,106.99
Labor_Hours,0.06,0.5996,Нет,5368.74,5501.14
Temperature,0.0587,0.6262,Нет,16.88,18.06
Material_Usage,0.0563,0.6795,Нет,541.6,550.59
Risk_Composite,0.055,0.7061,Нет,14.19,14.22
Cost_Overrun,0.0537,0.7323,Нет,5014537.98,5571806.26
Anomaly_Detected,0.0537,0.7323,Нет,0.19,0.24
Start_Month,0.045,0.8938,Нет,6.04,6.34
Energy_Consumption,0.045,0.8938,Нет,27451.44,27213.2
Start_Quarter,0.045,0.8938,Нет,2.35,2.46
Crack_Width,0.0437,0.9117,Нет,2.47,2.39
Cost_Overrun_Pct,0.0387,0.9656,Нет,19.41,19.84
Cost_Efficiency,0.0387,0.9656,Нет,0.86,0.85
Schedule_Overrun_Pct,0.0387,0.9656,Нет,19.59,19.33
Duration_Efficiency,0.0387,0.9656,Нет,0.85,0.86
Image_Analysis_Score,0.035,0.9875,Нет,74.92,74.92
Accident_Count,0.0325,0.9948,Нет,4.55,4.64
